,miejscowosc,wojewodztwo,typ,dziedzina,lng,lat
369,Gostyń,wielkopolskie,POZ,biologia,17.01215,51.8786
370,Lublin,lubelskie,POZ,matematyka,22.556178,51.26911920000001
371,Szczecin,zachodniopomorskie,POZ,matematyka,14.6674618,53.3773841
372,Tymbark,małopolskie,MUZ,muzyka,20.3174497,49.736915
373,Gryfice,zachodniopomorskie,POZ,historia,15.1998891,53.91666000000001
374,Białystok,podlaskie,POZ,fizyka,23.1572628,53.1295852
375,Laskowa,małopolskie,POZ,nauki społeczne,20.4874171,49.7696808
376,Bukowno,małopolskie,POZ,matematyka,19.44484,50.26508
377,Gdańsk,pomorskie,POZ,informatyka,18.5857143,54.3462257
378,Stalowa Wola,podkarpackie,POZ,matematyka,22.053586,50.5826005
379,Radomsko,łódzkie,MUZ,muzyka,19.4449387,51.0668544
380,Podgórzyn,kujawsko-pomorskie,POZ,astronomia,17.719477,52.84938469999999
381,Kamień Pomorski,zachodniopomorskie,POZ,chemia,14.819182,53.9336892
382,Koszalin,zachodniopomorskie,MUZ,muzyka,16.2049264,54.1949386
383,Katowice,śląskie,POZ,matematyka,19.0885353,50.26430509999999
384,Mirosławiec,zachodniopomorskie,MUZ,muzyka,16.0872459,53.34179409999999
385,Łódź,łódzkie,POZ,chemia,19.4516525,51.8010292
386,Częstochowa,śląskie,POZ,elektronika,19.1203094,50.8118195
387,Lubaczów,podkarpackie,POZ,historia,23.1387468,50.156415
388,Brzozówka,mazowieckie,POZ,historia,21.2351713,51.7303035
389,Tczew,pomorskie,POZ,historia,18.7587629,54.0742463
390,Kraków,małopolskie,POZ,matematyka,19.8735418,50.0906143
391,Kęty,małopolskie,POZ,historia,19.2213846,49.87793240000001
392,Lubanie,kujawsko-pomorskie,POZ,chemia,18.8961565,52.7528987
393,Łambinowice,opolskie,POZ,humanistyka,17.5390756,50.5523655
394,Świętochłowice,śląskie,MUZ,muzyka,18.9171297,50.2964328
395,Warszawa,mazowieckie,POZ,matematyka,21.0122287,52.2296756
396,Gdańsk,pomorskie,POZ,astronomia,18.5857143,54.3462257
397,Rzeszów,podkarpackie,POZ,nauki społeczne,22.0046329,50.024744
398,Szczecin,zachodniopomorskie,POZ,chemia,14.6674618,53.3773841
399,Kętrzyn,warmińsko-mazurskie,POZ,fizyka,21.37504,54.07657
400,Toruń,kujawsko-pomorskie,POZ,matematyka,18.5984437,53.0137902
401,Żagań,lubuskie,MUZ,muzyka,15.3248325,51.6178445
402,Wrocław,dolnośląskie,POZ,językoznawstwo,17.0956726,51.1141338
403,Kolonia Zawada,mazowieckie,POZ,historia,21.5492677,52.1644691
404,Gdynia,pomorskie,POZ,matematyka,18.4490251,54.5459594
405,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
406,Białystok,podlaskie,MUZ,muzyka,23.1572628,53.1295852
407,Końskie,świętokrzyskie,POZ,informatyka,20.4068498,51.19146929999999
408,Wrocław,dolnośląskie,POZ,matematyka,17.0956726,51.1141338
409,Wrocław,dolnośląskie,POZ,informatyka,17.0956726,51.1141338
410,Szczecin,zachodniopomorskie,MUZ,muzyka,14.6674618,53.3773841
411,Ustronie Morskie,zachodniopomorskie,POZ,matematyka,15.7598831,54.2019274
412,Rudniki,śląskie,MUZ,muzyka,19.2462227,50.8781672
413,Warszawa,mazowieckie,POZ,ekonomia,21.0122287,52.2296756
414,Lublin,lubelskie,MUZ,muzyka,22.556178,51.26911920000001
415,Żary,lubuskie,POZ,fizyka,15.1369992,51.6420121
416,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
417,Łódź,łódzkie,POZ,chemia,19.4516525,51.8010292
418,Wisznice,lubelskie,POZ,informatyka,23.1827422,51.7875857
419,Łańcut,podkarpackie,POZ,geografia,22.2574879,50.0777803
420,Tarnowskie Góry,śląskie,BAL,balet,18.8195062,50.4369287
421,Rzeszów,podkarpackie,POZ,chemia,22.0046329,50.024744
422,Mielec,podkarpackie,POZ,chemia,21.4238101,50.287063
423,Bydgoszcz,kujawsko-pomorskie,POZ,informatyka,18.0280647,53.13152119999999
424,Wręczyca,śląskie,POZ,chemia,18.974066,50.8355186
425,Kraków,małopolskie,POZ,matematyka,19.8735418,50.0906143
426,Brzeźnica,podkarpackie,POZ,biologia,21.4807042,50.10031720000001
427,Warszawa,mazowieckie,POZ,matematyka,21.0122287,52.2296756
428,Janów Lubelski,podkarpackie,POZ,muzyka,22.3634434,50.6772997
429,Janów Lubelski,lubelskie,MUZ,muzyka,22.42462,50.6631053
430,Raszków,wielkopolskie,POZ,historia,17.7384858,51.7182933
431,Jelenia Góra,dolnośląskie,MUZ,muzyka,15.7193616,50.9044171
432,Białystok,podlaskie,POZ,elektronika,23.1572628,53.1295852
433,Gdańsk,pomorskie,MUZ,muzyka,18.5857143,54.3462257
434,Rzeszów,podkarpackie,POZ,chemia,22.0046329,50.024744
435,Włocławek,kujawsko-pomorskie,POZ,fizyka,19.0677357,52.6483303
436,Rumia,pomorskie,BAL,balet,18.3878224,54.5707832
437,Opole Lubelskie,lubelskie,POZ,języki obce,21.9683588,51.1044616
438,Dąbrowa Górnicza,śląskie,POZ,matematyka,19.1949126,50.3216897
439,Rumia,pomorskie,POZ,informatyka,18.3878224,54.5707832
440,Elbląg,warmińsko-mazurskie,POZ,matematyka,19.4044897,54.1560613
441,Bytom,śląskie,MUZ,muzyka,18.9157175,50.3483816
442,Gdańsk,pomorskie,MUZ,muzyka,18.5857143,54.3462257
443,Radomin,kujawsko-pomorskie,POZ,chemia,19.1694848,53.0860174
444,Myśliborz,zachodniopomorskie,POZ,historia,14.86785,52.9237186
445,Jedlnia Letnisko,mazowieckie,POZ,psychologia,21.3127152,51.4181314
446,Puławy,lubelskie,POZ,matematyka,21.969309,51.4164431
447,Jamno,zachodniopomorskie,MUZ,muzyka,16.1675,54.245
448,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
449,Kościan,wielkopolskie,POZ,chemia,16.6814801,52.0951672
450,Olsztyn,warmińsko-mazurskie,PLA,plastyka,20.5155763,53.7405471
451,Białystok,podlaskie,MUZ,muzyka,23.1572628,53.1295852
452,Częstochowa,śląskie,POZ,biologia,19.1203094,50.8118195
453,Gdańsk,pomorskie,POZ,matematyka,18.5857143,54.3462257
454,Gdańsk,pomorskie,POZ,matematyka,18.5857143,54.3462257
455,Bielsko-Biała,śląskie,POZ,informatyka,19.0193824,49.8121337
456,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
457,Częstochowa,śląskie,BAL,balet,19.1203094,50.8118195
458,Gorlice,małopolskie,POZ,matematyka,21.16362,49.666275
459,Pęzino,zachodniopomorskie,POZ,wielokierunkowe,15.17793,53.3281874
460,Police,zachodniopomorskie,POZ,chemia,14.5587194,53.5099289
461,Katowice,śląskie,MUZ,muzyka,19.0885353,50.26430509999999
462,Łódź,łódzkie,POZ,informatyka,19.4516525,51.8010292
463,Rypin,kujawsko-pomorskie,POZ,prawo,19.4094097,53.0657106
464,Kluczbork,opolskie,POZ,matematyka,18.21807,50.97235
465,Warszawa,mazowieckie,PLA,plastyka,21.0122287,52.2296756
466,Suwałki,podlaskie,POZ,historia,22.9307881,54.1115218
467,Trzebiatów,zachodniopomorskie,POZ,literatura,15.3068705,54.06060309999999
468,Dzierżoniów,dolnośląskie,MUZ,muzyka,16.6773576,50.7539138
469,Toruń,kujawsko-pomorskie,POZ,matematyka,18.5984437,53.0137902
470,Tomaszów Mazowiecki,łódzkie,POZ,historia,20.0086471,51.5311945
471,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
472,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
473,Miodówko,warmińsko-mazurskie,PLA,plastyka,20.4046186,53.625865
474,Kutno,łódzkie,POZ,języki obce,19.364278,52.230618
475,Częstochowa,śląskie,POZ,biologia,19.1203094,50.8118195
476,Łaziska Górne,śląskie,POZ,matematyka,18.84028,50.1494
477,Płock,mazowieckie,POZ,matematyka,19.7751366,52.5363656
478,Słupsk,pomorskie,POZ,fizyka,17.0284824,54.46414799999999
479,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
480,Gdańsk- Jasień,pomorskie,MUZ,muzyka,18.5482228,54.3397877
