,miejscowosc,wojewodztwo,typ,dziedzina,lng,lat
177,Chorzów,śląskie,POZ,informatyka,18.9545728,50.2974884
178,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
179,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
180,Santok,lubuskie,POZ,biologia,15.4045987,52.7427931
181,Koszalin,zachodniopomorskie,MUZ,muzyka,16.2049264,54.1949386
182,Bogucin,lubelskie,POZ,astronomia,22.3461706,51.370484
183,Gliwice,śląskie,POZ,fizyka,18.6713802,50.29449229999999
184,Chorzów,śląskie,POZ,informatyka,18.9545728,50.2974884
185,Włocławek,kujawsko-pomorskie,POZ,fizyka,19.0677357,52.6483303
186,Wesoła k. Warszawy,mazowieckie,MUZ,muzyka,21.225198,52.2329397
187,Kraków,małopolskie,POZ,język polski,19.8735418,50.0906143
188,Gdynia,pomorskie,MUZ,muzyka,18.4490251,54.5459594
189,Warszawa,mazowieckie,POZ,biologia,21.0122287,52.2296756
190,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
191,Szprotawa,lubuskie,POZ,matematyka,15.5877825,51.5657949
192,Włocławek,kujawsko-pomorskie,POZ,informatyka,19.0677357,52.6483303
193,Szczecin,zachodniopomorskie,POZ,historia,14.6674618,53.3773841
194,Drwęsa,wielkopolskie,POZ,matematyka,16.6177778,52.4058333
195,Żegocina,małopolskie,POZ,chemia,20.4270549,49.8074468
196,Łódź,łódzkie,POZ,chemia,19.4516525,51.8010292
197,Wrocław,dolnośląskie,POZ,politologia,17.0956726,51.1141338
198,Włocławek,kujawsko-pomorskie,POZ,astronomia,19.0677357,52.6483303
199,Siechnice,dolnośląskie,MUZ,muzyka,17.1566415,51.0394639
200,Szczecin,zachodniopomorskie,POZ,nauki społeczne,14.6674618,53.3773841
201,Katowice,śląskie,MUZ,muzyka,19.0885353,50.26430509999999
202,Gorzeń Dln.,małopolskie,MUZ,muzyka,19.5068233,49.8657128
203,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
204,Bystra,śląskie,POZ,matematyka,19.058374,49.7559008
205,Gliwice,śląskie,POZ,historia,18.6713802,50.29449229999999
206,Bieruń,śląskie,MUZ,muzyka,19.09291,50.08999
207,Lublin,lubelskie,POZ,informatyka,22.556178,51.26911920000001
208,Bydgoszcz,kujawsko-pomorskie,POZ,informatyka,18.0280647,53.13152119999999
209,Łańcut,podkarpackie,POZ,politologia,22.2574879,50.0777803
210,Wrocław,dolnośląskie,MUZ,muzyka,17.0956726,51.1141338
211,Wrocław,dolnośląskie,POZ,literatura,17.0956726,51.1141338
212,Jelenia Góra,dolnośląskie,MUZ,muzyka,15.7193616,50.9044171
213,Ozimek,opolskie,POZ,matematyka,18.2368057,50.6988802
214,Mława,mazowieckie,MUZ,muzyka,20.3837208,53.1122632
215,Szczecin,zachodniopomorskie,POZ,biologia,14.6674618,53.3773841
216,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
217,Włocławek,kujawsko-pomorskie,POZ,fizyka,19.0677357,52.6483303
218,Pilica,śląskie,POZ,fizyka,19.6830999,50.4873856
219,Pilica,śląskie,POZ,matematyka,19.6830999,50.4873856
220,Częstochowa,śląskie,POZ,astronomia,19.1203094,50.8118195
221,Jeziorzany,małopolskie,MUZ,muzyka,19.7289065,50.0398933
222,Wrocław,dolnośląskie,MUZ,muzyka,16.7301471,51.4419754
223,Szczecin,zachodniopomorskie,POZ,filozofia,14.6674618,53.3773841
224,Warszawa,mazowieckie,POZ,humanistyka,21.0122287,52.2296756
225,Gliwice,śląskie,POZ,informatyka,18.6713802,50.29449229999999
226,Zabrze,śląskie,POZ,matematyka,18.7857186,50.3249278
227,Lipno,kujawsko-pomorskie,POZ,fizyka,19.1593348,52.80916879999999
228,Bydgoszcz,kujawsko-pomorskie,POZ,matematyka,18.0280647,53.13152119999999
229,Wrocław,dolnośląskie,MUZ,muzyka,17.0956726,51.1141338
230,Dębica,podkarpackie,POZ,matematyka,21.4116964,50.0516417
231,Bielsko-Biała,śląskie,POZ,matematyka,19.0193824,49.8121337
232,Szczecin,zachodniopomorskie,POZ,chemia,14.6674618,53.3773841
233,Katowice,śląskie,POZ,matematyka,19.0885353,50.26430509999999
234,Łomianki,mazowieckie,POZ,teatr,20.8652486,52.3480116
235,Zielona Góra,lubuskie,POZ,astronomia,15.4715929,51.9451446
236,Toruń,kujawsko-pomorskie,MUZ,muzyka,18.5984437,53.0137902
237,Bielsko-Biała,śląskie,POZ,matematyka,19.0193824,49.8121337
238,Trzebiatów,zachodniopomorskie,POZ,historia,15.3068705,54.06060309999999
239,Schodnia Nowa,opolskie,POZ,matematyka,18.2368057,50.6988802
240,Tymbark,małopolskie,MUZ,muzyka,20.3174497,49.736915
241,Mikołów,śląskie,POZ,matematyka,18.9038037,50.1790184
242,Szczecin,zachodniopomorskie,POZ,chemia,14.6674618,53.3773841
243,Warszawa,mazowieckie,POZ,geografia,21.0122287,52.2296756
244,Jakubowice Konińskie,lubelskie,POZ,informatyka,22.588297,51.31612200000001
245,Józefów,mazowieckie,MUZ,muzyka,21.2344684,52.1457405
246,Prudnik,opolskie,POZ,biologia,17.5361112,50.3289555
247,Gdańsk,pomorskie,MUZ,muzyka,18.5857143,54.3462257
248,Szczecin,zachodniopomorskie,MUZ,muzyka,14.6674618,53.3773841
249,Wrocław,dolnośląskie,POZ,matematyka,17.0956726,51.1141338
250,Lubicz Górny,kujawsko-pomorskie,MUZ,muzyka,18.7708243,53.02616829999999
251,Mściwojów,dolnośląskie,POZ,fizyka,16.2612427,51.063526
252,Raciąż,mazowieckie,POZ,historia,20.1079605,52.77985169999999
253,Płock,mazowieckie,POZ,matematyka,19.7751366,52.5363656
254,Żyrardów,mazowieckie,POZ,fizyka,20.445988,52.048652
255,Kraków,małopolskie,POZ,matematyka,19.8735418,50.0906143
256,Włocławek,kujawsko-pomorskie,POZ,astronomia,19.0677357,52.6483303
257,Łużna,małopolskie,POZ,matematyka,21.0458599,49.712424
258,Zawiercie,śląskie,POZ,socjologia,19.4166259,50.48774299999999
259,Gdynia,pomorskie,POZ,informatyka,18.4490251,54.5459594
260,Skierniewice,łódzkie,POZ,matematyka,20.1583303,51.9547169
261,Konin,wielkopolskie,POZ,chemia,18.2510729,52.2230334
262,Bulowice,małopolskie,POZ,biologia,19.2913077,49.8756423
263,Barany,warmińsko-mazurskie,POZ,ornitologia,22.3327887,53.7876688
264,Ostrołęka,mazowieckie,POZ,matematyka,21.6031379,53.0505828
265,Bielsko-Biała,śląskie,POZ,informatyka,19.0193824,49.8121337
266,Strzałkowo,wielkopolskie,MUZ,muzyka,17.8075499,52.3199234
267,Blachownia,śląskie,POZ,chemia,18.96224,50.78505
268,Białystok,podlaskie,POZ,fizyka,23.1572628,53.1295852
269,Puławy,lubelskie,POZ,astronomia,21.969309,51.4164431
270,Olsztyn,warmińsko-mazurskie,PLA,plastyka,20.5155763,53.7405471
271,Bydgoszcz,kujawsko-pomorskie,POZ,matematyka,18.0280647,53.13152119999999
272,Pruszków,mazowieckie,MUZ,muzyka,20.8232002,52.1581039
273,Łaziska Górne,śląskie,POZ,matematyka,18.84028,50.1494
274,Szczecin,zachodniopomorskie,POZ,literatura,14.6674618,53.3773841
275,Gliwice,śląskie,POZ,matematyka,18.6713802,50.29449229999999
276,Kędzierzyn-Koźle,śląskie,MUZ,muzyka,18.3503499,50.2899294
277,Wiskitki,mazowieckie,MUZ,muzyka,20.331731,52.0735785
278,Pęchów,świętokrzyskie,POZ,biologia,21.4603162,50.6683684
279,Pabianice,łódzkie,MUZ,muzyka,19.35776,51.6567303
280,Bydgoszcz,kujawsko-pomorskie,POZ,chemia,18.0280647,53.13152119999999
281,Stanisławów,mazowieckie,POZ,matematyka,21.5490804,52.2920457
282,Mierzyn,zachodniopomorskie,POZ,chemia,14.4540345,53.4308992
